Sport,Naam,Website,Naam accommodatie,Adres accommodatie,Postcode accommodatie,Plaats accommodatie,Stadsdeel,Aangepast sporten,KvK
Aangepast sporten,Stichting Prisma,www.stichtingprisma.nl,Diverse locaties,Zwanenburgwal 206,1011JH,Amsterdam,Centrum,ja,41217265
Aangepast sporten,Friendship Sports Centre,www.friendshipsportscentre.nl,Friendship Sports Centre,Beemsterstraat 652,1027ED,Amsterdam,Noord,ja,34152839
Aangepast sporten,Reade,www.reade.nl,Jan van Breemen instituut,Dr. Jan van Breemenstraat 2,1056AB,Amsterdam,Nieuw-West,ja,
Aangepast sporten,PWA Manege | Vereniging Paardrijden Gehandicapten,www.pwamanege.nl,Prins Willem-Alexander manege,Loosdrechtdreef 9,1108AZ,Amsterdam,Zuidoost,ja,40533448
Aangepast sporten,Terminators,www.amsterdamterminators.nl,Reade sporthal,Overtoom 283,1054HW,Amsterdam,West,ja,40539513
Aangepast sporten,Stichting Paardrijden Gehandicapten Amstelveen,www.spga.nl,SEIN Manege de Cruquiushoeve,Spieringweg 801,2142ED,Cruquius,Buiten Amsterdam,ja,34217276
Aerobics,De Bonte Kraai,www.buurthuizenzuidoost.nl,Buurthuis De Bonte Kraaij,Kraaiennest 68,1104CD,Amsterdam,Zuidoost,,
Aerobics,Ontspanningsvereniging Slotervaart (OVS),www.ovs-slotervaart.nl,Huis van de Wijk Het Anker,Jac Veltmanstraat 427,1065DC,Amsterdam,Nieuw-West,,40533777
Aikido,Kagen dojo,www.kagen-dojo.nl,4e Gymnasium,Archangelweg 4,1013ZZ,Amsterdam,West,,34323495
Aikido,Aikidojo ,www.aikidojo.nl,ABOV,Amstelkade 13,1078AB,Amsterdam,Oost,,55532675
Aikido,Aikido Centrum Amsterdam,wilkovriesman.blogspot.com,Aikido Centrum Amsterdam,Geleenstraat 34,1078LG,Amsterdam,Zuid,,34145187
Aikido,Culturele Aikido Stichting Amsterdam (CASA),www.aikido-info.nl,ASV Gebouw,Bilderdijkpark 10,1052SB,Amsterdam,West,,41210217
Aikido,Tenchi Ryu,www.tenchiryu.nl,Brede school de Kinkerbuurt,Borgerstraat 109,1053PE,Amsterdam,West,,34367624
Aikido,Buurtvereniging Jacob Maris,www.jacobmaris.com,Buurthuis Jacob Maris,Columbusplein 253,1057TX,Amsterdam,West,,40535350
Aikido,Movendi,www.movendi.nl,Cornelis Vrijschool,Van de Veldestraat 3,1071CW,Amsterdam,Zuid,,34184249
Aikido,Aikikai Aikido Amsterdam,www.aikido-amsterdam.nl,Gymzaal Heinzestraat 9,Heinzestraat 9,1071SK,Amsterdam,Zuid,,34155590
Aikido,AikiContact,www.aikicontact.nl,"Jan van der Heijdenhuis, theaterzaal",Tweede Jan van der Heijdenstraat 75-77,1074XR,Amsterdam,Zuid,,34341284
Aikido,Aikido Centrum Amsterdam,wilkovriesman.blogspot.com,OBS Vijf Sterren,Markengouw 245A,1024EA,Amsterdam,Noord,,34145187
Aikido,Shinbukan Amsterdam,www.shinbukan.nl,Shinbukan Dojo Amsterdam,Van Ostadestraat 155,1073TK,Amsterdam,Zuid,,34170855
Aikido,Aikikai Aikido Amsterdam,www.aikido-amsterdam.nl,Sportcentrum Caland,Eliza van Calcarstraat 2,1068RR,Amsterdam,Nieuw-West,,34155590
Aikido,Aikido Centrum Amsterdam,wilkovriesman.blogspot.com,Sportcentrum De Pijp,Lizzy Ansinghstraat 88,1072RD,Amsterdam,Zuid,,34145187
