;;;;;;;
;;;;;;;
Sport type;Values from 1-5;;;;;;
;Indoor - Outdoor;Team / Individual;Water;Strength/ Condition/ Balance;Main motivations;;
Fitness;;;;;;;
Bodyworkout;1;1;1;Strength;achievements;;
Yoga;2;1;1;Balance;stress-relief, relaxation, me-time;;
Meditation;2;1;1;Balance;stress-relief, relaxation, me-time;;
Individual;;;1;;;;
Boulder;1;1;1;Strength;achievements, fun, learn smth;;
gymnastics;1;2;1;Balance;learn smth, achievements, fun;;
Swimming;3;1;5;Endurance;stress-relief, relaxation, me-time;;
Running;5;2;1;Endurance;stress-relief,  me-time, achievements;;
Material Arts;;;1;;;;
Aikido ;1;3;1;s;achievements, stress relief, fun;;
Boxing;1;3;1;s;win, achievements, stress-relief;;
Fencing;1;3;1;s;win, achievements, stress-relief;;
Judo;1;3;1;s;achievements, stress relief, fun;;
Karate;1;3;1;s;achievements, stress relief, fun;;
Kickboxing;1;3;1;s;win, achievements, stress-relief;;
MMA;1;3;1;s;achievements, stress relief, fun;;
Outdoor;;;1;;;;
Climbing;5;1;1;s;achievements, fun, learn smth;;
Mountainbike;5;1;1;Endurance;achievements, fun, me-time;;
Parkour;5;2;1;e, b;achievements, fun, friends;;
Cycling;5;2;1;e;achievements, fun, me-time;;
Sport games;;;1;;;;
Rugby;5;5;1;s;friends, win, stress-releif;;
Badminton;2;5;1;e;friends, win, fun;;
Basketball;4;5;1;e;friends, win, fun;;
Volleyball;2;5;1;e;friends, win, fun;;
Beach-Volleyball;5;5;1;e;friends, win, fun;;
Soccer;2;5;1;e;friends, win, fun;;
Handball;4;5;1;e;friends, win, fun;;
Hockey;?;5;1;e;friends, win, fun;;
Squash;1;5;1;e;friends, win, stress-releif;;
Tennis;3;5;1;e;friends, win, fun;;
Table Tennis;3;5;1;e;friends, win, fun;;
Ultimate Frisbee;3;5;1;e;friends, win, fun;;
Waterball;3;5;5;e;friends, win, fun;;
Dance;;;1;;;;
Balley;1;2;1;Balance;achievements, learn something, me-time;;
Hip Hop;2;3;1;Balance;fun, friends, stress-relief;;
Salsa;2;4;1;Balance;fun, friends, stress-relief;;
